,MSA,msa name,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,VIOL,PROPERTY,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,2018 Real Gross Domentic Product Thousands of chained (2012) dollars
176,27900,"Joplin, MO (Metropolitan Statistical Area)",177228,177228,18,19,199.1817,699,7185,7,95,100,497,1150,5420,615,52,7012417
177,27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,9345639
178,28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",262089,262089,12,12,99.7402,1490,7726,17,293,257,923,1628,5680,418,44,12530386
179,28100,"Kankakee, IL (Metropolitan Statistical Area)",109448,96531,12,8,100.0,296,2332,11,29,98,158,509,1729,93,31,4370611
180,28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",2101110,1941172,137,145,1336.4342,11647,53228,167,968,2515,7997,9858,35922,7447,333,120240081
181,28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",285194,285194,8,8,200.0,552,6210,4,99,91,358,1071,4611,528,71,13935315
182,28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",434470,431420,21,19,271.3549,1675,10519,29,245,406,995,2464,7332,722,81,16832544
183,28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area)",234591,234964,17,19,300.0,1007,5780,6,100,109,792,1080,4194,506,44,12034269
184,28740,"Kingston, NY (Metropolitan Statistical Area)",178502,178502,24,17,100.0,293,2344,4,73,36,180,394,1885,65,5,6237082
185,28940,"Knoxville, TN (Metropolitan Statistical Area)",843138,843138,45,49,800.0,3892,24017,36,304,612,2938,5023,16990,2002,100,38764087
186,29020,"Kokomo, IN (Metropolitan Statistical Area)",82350,81251,4,3,100.0,519,2046,6,36,92,385,587,1350,109,5,5253267
187,29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",137403,137403,14,14,200.0,187,3383,1,42,23,121,484,2807,92,7,6994020
188,29180,"Lafayette, LA (Metropolitan Statistical Area)",493128,480684,19,20,498.7959,1823,14369,46,58,351,1368,3304,10058,1007,30,21384228
189,29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",224686,188651,15,9,325.0,494,4404,3,66,127,298,898,3255,251,17,9726852
190,29340,"Lake Charles, LA (Metropolitan Statistical Area)",206047,206047,9,9,200.0,1359,8790,14,103,192,1050,3138,5100,552,8,16307257
191,29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",206065,201231,5,4,100.0,483,6262,19,71,60,333,1571,4249,442,49,5068013
192,29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",661218,661218,23,15,100.0,2199,15567,26,258,350,1565,3214,11201,1152,35,22483500
193,29540,"Lancaster, PA (Metropolitan Statistical Area)",538390,538376,48,48,100.0,948,7406,8,181,270,489,1028,6139,239,46,26442386
194,29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",541964,541330,42,45,400.0,2396,9615,17,520,367,1492,2000,6870,745,58,22245567
195,29700,"Laredo, TX (Metropolitan Statistical Area)",272746,272746,7,6,100.0,986,8188,12,153,165,656,1116,6837,235,54,12408193
196,29740,"Las Cruces, NM (Metropolitan Statistical Area)",214233,214233,7,7,95.6841,590,6468,12,102,70,407,1323,4728,417,7,6757266
197,29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",2155946,2155946,13,11,100.0,16614,58708,194,1420,5781,9219,15517,32325,10865,298,107622947
198,29940,"Lawrence, KS (Metropolitan Statistical Area)",118832,0,5,1,100.0,5,216,0,3,1,1,27,184,5,0,4458646
199,30020,"Lawton, OK (Metropolitan Statistical Area)",129814,128649,9,8,200.0,816,4130,4,78,112,622,1305,2558,267,18,4603585
200,30140,"Lebanon, PA (Metropolitan Statistical Area)",137357,131736,26,22,100.0,203,1948,3,13,36,151,309,1550,89,12,5659207
201,30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",62714,62714,5,5,200.0,95,2189,1,25,6,63,507,1562,120,4,2572398
202,30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",107279,107279,12,11,100.0,147,1830,0,37,30,80,310,1440,80,9,4266879
203,30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",505677,505664,36,22,600.0,1455,18583,31,324,674,425,3600,13495,1487,61,26119661
204,30620,"Lima, OH (Metropolitan Statistical Area)",107201,100470,12,9,97.5205,404,3659,8,55,141,199,894,2605,160,26,7558930
205,30700,"Lincoln, NE (Metropolitan Statistical Area)",327353,325243,8,7,200.0,1053,9204,10,244,192,607,1345,7479,380,62,17241299
206,30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",736917,737086,34,37,600.0,5619,31536,74,451,1009,4085,5675,23056,2805,118,34574410
207,30860,"Logan, UT-ID (Metropolitan Statistical Area)",135889,135889,7,7,200.0,95,1500,2,37,8,47,245,1170,85,10,5116465
208,30980,"Longview, TX (Metropolitan Statistical Area)",284963,283314,19,20,396.8798,1142,7858,24,128,183,807,1920,5376,562,47,16077049
209,31020,"Longview, WA (Metropolitan Statistical Area)",104173,104085,6,6,100.0,280,3455,2,69,58,151,714,2380,361,33,4511489
210,31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",13350144,13350144,154,143,199.8918,63647,318559,679,4969,22288,35711,58004,204522,56034,2633,941038802
211,31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",1252806,1182307,68,54,983.3679,5716,42440,143,414,1797,3362,8115,28653,5671,52,64057714
212,31180,"Lubbock, TX (Metropolitan Statistical Area)",313567,310363,17,14,300.0,2894,14118,9,200,488,2197,2984,9980,1154,52,13112202
213,31340,"Lynchburg, VA (Metropolitan Statistical Area)",124899,124899,9,9,300.0,114,1201,3,36,12,63,172,969,59,9,9480776
214,31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",229434,228440,19,14,492.7294,874,9481,17,61,279,517,2292,6471,718,161,10440121
215,31460,"Madera, CA (Metropolitan Statistical Area)",154726,154726,6,5,100.0,1024,3705,7,51,124,842,978,2155,572,17,7099931
216,31540,"Madison, WI (Metropolitan Statistical Area)",647666,640108,44,48,398.9048,1310,12274,13,203,311,783,1722,9968,584,29,46528410
217,31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",408233,402898,31,25,100.0,1105,6185,5,168,249,683,846,5051,288,53,25514840
218,31740,"Manhattan, KS (Metropolitan Statistical Area)",136325,136325,11,11,296.1921,474,2217,2,77,33,360,358,1739,119,21,6265149
219,31860,"Mankato, MN (Metropolitan Statistical Area)",99475,99481,11,12,200.0,153,1878,2,37,26,88,368,1432,78,9,5476181
220,31900,"Mansfield, OH (Metropolitan Statistical Area)",121924,120157,9,8,99.8732,303,4453,6,95,73,129,1210,3095,149,31,4395247
221,32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",853003,847000,25,22,99.464,2504,24131,22,416,444,1622,3940,19096,1095,128,21017756
222,32780,"Medford, OR (Metropolitan Statistical Area)",215751,215751,11,11,100.0,754,9204,5,74,148,527,1031,7518,655,74,8219635
223,32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",1338868,1310793,45,42,698.7147,14593,51588,253,757,3619,9965,12440,34983,4164,454,67979152
224,32900,"Merced, CA (Metropolitan Statistical Area)",268999,268999,13,11,100.0,1488,7658,6,79,238,1165,1830,4395,1433,117,9435667
225,33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",6113688,6113688,146,120,300.0,29633,195830,352,1857,9272,18152,28318,149990,17522,419,315028205
226,33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",110541,107359,9,7,95.1763,325,2862,2,34,77,211,615,2055,191,13,3940402
227,33220,"Midland, MI (Metropolitan Statistical Area)",83743,83588,4,4,100.0,107,887,1,44,6,56,203,654,30,9,4917510
228,33260,"Midland, TX (Metropolitan Statistical Area)",169634,171699,5,6,200.0,511,4285,3,29,102,377,777,3222,286,11,36584486
229,33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",1577130,1577025,59,60,400.0,10347,42877,156,639,3659,5893,8075,27566,7236,346,92577227
230,33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",3532201,3533500,123,132,1500.0,10192,82101,77,1524,3374,5217,12576,62791,6734,379,237182927
231,33540,"Missoula, MT (Metropolitan Statistical Area)",115226,115226,3,3,100.0,478,4099,0,82,64,332,505,3367,227,19,5004429
232,33660,"Mobile, AL (Metropolitan Statistical Area)",431425,431425,18,18,198.6954,2475,16888,63,141,606,1665,4060,11411,1417,96,18682196
233,33700,"Modesto, CA (Metropolitan Statistical Area)",539425,539425,16,13,100.0,3366,17918,34,199,835,2298,3303,11119,3496,111,23160773
234,33740,"Monroe, LA (Metropolitan Statistical Area)",205142,198962,13,11,272.9015,2258,9975,21,68,350,1819,2668,6818,490,23,8506698
235,33780,"Monroe, MI (Metropolitan Statistical Area)",146962,145025,8,8,98.7433,372,2143,6,122,35,209,497,1500,146,31,5644944
236,33860,"Montgomery, AL (Metropolitan Statistical Area)",374325,370158,26,15,392.9308,1741,13117,44,135,527,1035,3212,8722,1183,77,16224266
237,34060,"Morgantown, WV (Metropolitan Statistical Area)",138954,122777,24,12,200.0,325,1693,3,63,27,232,411,1190,92,7,6870622
238,34100,"Morristown, TN (Metropolitan Statistical Area)",140007,140007,15,16,300.0,475,3019,3,27,38,407,652,2109,258,18,4694257
239,34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",123317,123317,6,6,100.0,228,4362,6,36,54,132,841,3213,308,7,7469437
240,34620,"Muncie, IN (Metropolitan Statistical Area)",116442,116442,4,4,100.0,304,3428,9,37,99,159,650,2532,246,4,3872532
241,34740,"Muskegon, MI (Metropolitan Statistical Area)",172890,172890,11,11,100.0,756,5217,7,146,142,461,816,4152,249,33,6004546
242,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",444122,433572,32,24,176.0537,2041,16240,32,328,341,1341,2891,12001,1348,83,14853910
243,34900,"Napa, CA (Metropolitan Statistical Area)",142635,142635,10,9,100.0,598,2524,1,62,72,463,655,1647,222,11,9999759
244,34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",365390,365390,13,7,100.0,962,4496,10,70,169,713,807,3443,246,17,15760299
245,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",1838709,1838709,73,75,1300.0,11719,46297,112,875,2450,8279,8285,34951,3061,184,117842189
246,35100,"New Bern, NC (Metropolitan Statistical Area)",126088,114772,17,7,297.6801,278,2663,3,21,64,190,770,1780,113,13,4806866
247,35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",804612,804612,25,24,100.0,2609,20394,30,192,888,1499,3274,14674,2446,68,48060270
248,35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",1272995,1269654,26,24,800.0,7091,38054,240,712,2059,4080,5933,28469,3652,163,73933798
249,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",19508592,19505160,588,496,2097.7326,70191,264177,647,3717,24137,41689,32273,214142,17753,567,1532017523
250,35660,"Niles, MI (Metropolitan Statistical Area)",154140,154139,20,20,100.0,699,3605,11,151,103,434,769,2642,194,28,6877563
251,35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",784372,784372,33,21,200.0,2678,15870,32,241,428,1977,2822,12238,810,33,30413623
252,35980,"Norwich-New London, CT (Metropolitan Statistical Area)",159068,159068,9,8,99.2131,432,2834,3,48,68,312,513,2122,199,14,17084801
253,36100,"Ocala, FL (Metropolitan Statistical Area)",346358,346358,15,8,100.0,1174,7923,18,90,213,853,1926,5384,613,20,9237866
254,36140,"Ocean City, NJ (Metropolitan Statistical Area)",93755,93755,17,16,100.0,218,2834,0,25,54,138,532,2253,49,8,4852632
255,36220,"Odessa, TX (Metropolitan Statistical Area)",165908,163843,4,4,100.0,1169,6137,7,98,170,894,1157,4300,680,15,12844718
256,36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",653748,641572,32,27,300.0,1018,14607,11,276,171,560,2494,11143,970,64,25924317
257,36420,"Oklahoma City, OK (Metropolitan Statistical Area)",1372268,1372721,60,65,699.5831,6771,42881,94,762,1432,4482,9486,28848,4547,174,79674629
258,36500,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",274020,274020,9,9,100.0,675,8082,6,77,109,483,1609,5739,734,20,12398258
259,36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",923710,922624,31,29,800.0,3246,25419,36,388,722,2100,3333,18003,4083,100,56192111
260,36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",2445214,2431084,83,54,400.0,12275,72038,196,1222,2412,8445,16639,50171,5228,76,124180284
261,36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",170479,169773,8,9,100.0,281,2857,0,21,45,215,410,2313,134,5,9274302
262,36980,"Owensboro, KY (Metropolitan Statistical Area)",117893,117893,10,6,300.0,198,3294,3,60,54,79,670,2341,283,20,5223335
263,37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",849851,849851,21,18,100.0,2193,16415,31,269,726,1167,2910,11855,1650,113,53439240
264,37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",574187,574187,27,18,100.0,2870,14857,20,255,451,2144,3249,10454,1154,66,23437467
265,37460,"Panama City, FL (Metropolitan Statistical Area)",184588,184588,21,13,100.0,897,6567,9,87,133,668,1127,5013,427,19,7606775
266,37620,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",91681,91681,14,12,200.0,361,2429,4,47,24,286,598,1705,126,8,3408222
267,37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",484608,484608,29,17,200.0,2219,12338,25,243,396,1555,2441,9137,760,42,17969875
268,37900,"Peoria, IL (Metropolitan Statistical Area)",411260,391023,55,38,597.2293,1501,8574,15,172,363,949,1978,6232,362,114,22950197
269,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",6068733,6067359,363,354,1100.0,27007,131838,480,2068,9883,14576,20259,101509,10068,809,398937937
270,38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",4662309,4659339,29,29,199.6501,19317,132697,248,2128,5216,11725,25605,93731,13360,568,227726631
271,38220,"Pine Bluff, AR (Metropolitan Statistical Area)",92403,92403,9,9,300.0,840,3600,10,60,139,631,1343,1947,310,72,3348034
272,38300,"Pittsburgh, PA (Metropolitan Statistical Area)",2344884,2331546,334,321,698.7694,6724,40321,124,531,1905,4163,6869,31392,2061,438,138451781
273,38340,"Pittsfield, MA (Metropolitan Statistical Area)",126594,115458,24,14,99.3194,617,2141,3,80,50,484,649,1424,68,12,6659360
274,38540,"Pocatello, ID (Metropolitan Statistical Area)",92070,92070,5,6,200.0,252,2317,3,22,18,208,384,1777,156,11,3164389
275,38860,"Portland-South Portland, ME (Metropolitan Statistical Area)",529510,529510,51,48,300.0,712,8962,8,146,129,429,1512,7156,294,36,28249445
276,38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",2435532,2395430,63,65,696.0762,6808,67591,48,1219,1683,3858,8999,49059,9533,530,150083037
277,38940,"Port St. Lucie, FL (Metropolitan Statistical Area)",461932,461932,27,15,200.0,1196,8119,19,132,216,829,1523,6224,372,37,15258214
278,39100,"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)",669397,667373,64,46,199.83,1496,9945,15,242,347,890,1252,8418,275,44,27990041
279,39150,"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",227945,225038,10,11,100.0,650,4280,6,49,49,546,843,3199,238,25,6481866
280,39300,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",1612295,1612295,87,72,600.0,5112,28857,40,654,1061,3358,5785,21117,1954,238,77520938
281,39340,"Provo-Orem, UT (Metropolitan Statistical Area)",597243,599314,21,21,200.0,479,10676,5,167,64,243,1256,8860,559,16,24664957
282,39380,"Pueblo, CO (Metropolitan Statistical Area)",164337,164337,3,3,100.0,1121,8805,10,178,230,703,2090,5382,1333,52,6084945
283,39460,"Punta Gorda, FL (Metropolitan Statistical Area)",176234,176234,12,6,100.0,391,2671,5,35,20,331,432,2127,112,5,4670656
284,39540,"Racine, WI (Metropolitan Statistical Area)",194692,194692,6,6,100.0,427,3748,8,29,148,242,875,2715,158,13,8450197
285,39580,"Raleigh-Cary, NC (Metropolitan Statistical Area)",1305886,837855,46,31,296.7777,1092,13024,18,102,298,674,3132,9299,593,48,76147422
286,39660,"Rapid City, SD (Metropolitan Statistical Area)",137237,137237,7,8,199.8733,729,3776,5,158,88,478,629,2843,304,7,5848886
287,39740,"Reading, PA (Metropolitan Statistical Area)",414715,414729,47,48,100.0,1129,6781,17,110,299,703,1415,5016,350,44,18443415
288,39820,"Redding, CA (Metropolitan Statistical Area)",178755,178755,8,6,100.0,1333,5561,12,150,172,999,1217,3472,872,37,7655080
289,39900,"Reno, NV (Metropolitan Statistical Area)",457558,457558,8,8,200.0,2332,11506,14,190,490,1638,1894,7818,1793,32,24461810
290,40060,"Richmond, VA (Metropolitan Statistical Area)",1115889,1115889,35,33,1200.0,2720,25995,94,290,963,1373,3983,19906,2104,148,56665864
291,40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",4509084,4509084,81,68,200.0,17916,120270,228,1203,5186,11299,26204,70799,23267,601,164890059
292,40220,"Roanoke, VA (Metropolitan Statistical Area)",194328,194328,11,11,400.0,551,5206,15,72,124,340,560,4359,287,38,8484782
293,40340,"Rochester, MN (Metropolitan Statistical Area)",215760,214994,15,15,400.0,296,3138,0,91,53,152,526,2418,194,8,12684204
294,40380,"Rochester, NY (Metropolitan Statistical Area)",1075149,1071123,78,45,600.0,2990,21219,51,458,905,1576,3532,16584,1102,135,56812848
295,40420,"Rockford, IL (Metropolitan Statistical Area)",337325,333813,19,15,200.0,2946,8721,31,236,604,2074,2067,6065,588,112,14787779
296,40580,"Rocky Mount, NC (Metropolitan Statistical Area)",147780,138293,17,8,199.3082,634,3447,12,31,148,443,1062,2230,155,21,9004317
297,40660,"Rome, GA (Metropolitan Statistical Area)",96420,96420,6,5,100.0,316,2817,5,27,69,215,640,1989,188,20,3787411
298,40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",2283312,2283312,46,38,400.0,9384,54595,95,595,2742,5952,10479,35750,8366,374,128662258
299,40980,"Saginaw, MI (Metropolitan Statistical Area)",191914,191925,17,18,100.0,1166,3361,19,130,108,909,845,2365,151,40,8120484
300,41060,"St. Cloud, MN (Metropolitan Statistical Area)",201755,195241,16,19,200.0,383,4590,1,95,68,219,521,3868,201,9,9521903
301,41100,"St. George, UT (Metropolitan Statistical Area)",159745,156786,8,7,100.0,268,2700,0,78,18,172,575,1932,193,6,5347692
302,41140,"St. Joseph, MO-KS (Metropolitan Statistical Area)",121629,121673,15,16,393.4759,507,5058,10,54,108,335,910,3513,635,23,5108463
303,41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",2808247,2773615,222,212,1396.0599,13846,69948,319,1072,3433,9017,12384,50589,6973,784,123621973
304,41420,"Salem, OR (Metropolitan Statistical Area)",416427,416427,19,20,200.0,953,11968,19,95,189,650,1768,8999,1201,57,16156490
305,41500,"Salinas, CA (Metropolitan Statistical Area)",434506,434506,19,18,100.0,1822,10396,56,162,506,1098,1666,6212,2518,42,25834713
306,41540,"Salisbury, MD-DE (Metropolitan Statistical Area)",401871,397778,45,42,399.6615,1619,10776,16,156,355,1092,2534,7956,285,35,22164043
307,41620,"Salt Lake City, UT (Metropolitan Statistical Area)",1192136,1189674,19,18,190.5192,4883,54809,46,842,1225,2769,7286,40489,7035,143,82415403
308,41660,"San Angelo, TX (Metropolitan Statistical Area)",122229,122229,5,5,300.0,403,5528,6,78,58,261,1092,4123,313,17,7320786
309,41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",2426048,2424893,56,64,789.865,12765,99013,186,1596,2544,8439,16090,74110,8814,327,121018865
310,41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",3317259,3317259,32,27,100.0,10959,61356,101,1088,2777,6993,10382,39955,11019,420,219361505
311,41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",4688840,4688840,105,90,500.0,22400,156988,239,1589,10467,10105,21502,107276,28210,927,496588491
312,41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",1991233,1991233,33,28,200.0,5578,43340,58,658,1645,3217,7661,25613,10066,254,319021383
313,42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",281827,281827,17,15,100.0,1115,6687,4,102,88,921,1199,4987,501,59,16536404
314,42100,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",274494,274494,10,9,100.0,1101,9485,5,120,209,767,1221,6810,1454,38,13765700
315,42140,"Santa Fe, NM (Metropolitan Statistical Area)",145637,148925,5,5,100.0,568,4216,2,45,107,414,1628,2305,284,18,5825345
